metadata.features.title	Features — Free POS, Inventory & Online Store
orderManagement.features.items.whatsapp.description	Send the digital receipt or an order status update on WhatsApp in one tap. The message matches the order's current status — no setup, no API account, sent from your own WhatsApp.
orderManagement.features.items.filters.description	Filter by order number, status, date range, store, payment status, payment method, source, or sales channel — then export the filtered view to CSV for your accountant.
orderManagement.howItWorks.step2.description	Update the fulfillment status as the order moves — preparing, ready, delivering. Tap the WhatsApp button to tell the customer, with a message that matches the status.
orderManagement.howItWorks.step3.description	Record payments as they arrive — full, partial, or scheduled with a due date. Approve receipt-image payments after reviewing them. Print or send the receipt, and the order is done.
orderManagement.channels.pos.description	The full-screen sale view: browse the catalogue, pick variants, attach a customer, apply coupons or discounts, and take payment — cash with automatic change, online, or receipt.
orderManagement.channels.storefront.description	Storefront orders arrive with the customer's details, address, and chosen payment method. Cash and receipt payments arrive as pending — you approve them after checking.
orderManagement.channels.portal.description	Phone calls, WhatsApp messages, Instagram DMs — your team enters them as manual orders and tags the sales channel, so nothing lives only in a chat thread.
orderManagement.statuses.items.pending.meaning	The order is in — nobody has started on it yet
orderManagement.statuses.items.completed.meaning	The customer has the order — done
orderManagement.statuses.items.cancelled.meaning	Order cancelled — reserved stock goes back on the shelf
orderManagement.statuses.note	Payment status is tracked separately: Pending, Partial, Paid, Refunded — so you always know the money side too.
orderManagement.faq.items.q1.answer	Yes. Every order — from the POS, the online storefront, or entered manually by your team — appears in the same Sales list. Each order is tagged with its source, and you can filter by it.
orderManagement.faq.items.q2.answer	Cancelling a pending order returns the stock automatically — quantities go back to what they were before the order, as long as inventory tracking is enabled for those products.
orderManagement.faq.items.q4.answer	Open the Overdue Payments page. It lists every scheduled payment with its due date and status — on time, due soon, or overdue. From there, open the order to record the payment or push the due date.
orderManagement.faq.items.q5.answer	No. Cashvio opens WhatsApp with a ready message — the receipt link or a status update — and you press send from your own account. It works with any WhatsApp, personal or business, with nothing to configure.
orderManagement.faq.items.q7.answer	A receipt payment is a bank or wallet transfer proven with an uploaded image. When a storefront customer pays this way, the payment arrives pending — you open the order, view the uploaded image, and confirm it to mark the payment complete.
orderManagement.faq.items.q8.answer	Yes. Apply any filters you want — dates, store, payment status, channel — and export the filtered view to CSV from the toolbar.
orderManagement.cta.description	Start free and see today's orders — from every channel — in a single list within minutes. No credit card required.
orderManagement.screenshot.caption	Live view — orders
orderManagement.screenshot.companionCaption	Live view — orders on mobile
customerManagement.hero.subtitle	A customer profile starts with just a phone number. From there, Cashvio tracks every visit, every order, every address, and every pound of store credit — so when a regular walks in, you already know their story.
customerManagement.problem.items.noHistory.description	A customer asks about something they bought two months ago — the color, the size, the price. Without order history under their name, you simply cannot answer.
customerManagement.features.subtitle	You do not fill in forms all day. Profiles build themselves from real orders — you just attach the customer at checkout.
customerManagement.features.items.quickProfiles.description	The phone number is the only required field. Name, birth date, and notes are optional — add them when you learn them. Create customers from the customer page, the POS, or the dashboard.
customerManagement.features.items.stats.description	Every customer shows total visits, total spent, store credit balance, and their last visit date — updated automatically with every order they place.
customerManagement.features.items.addresses.description	Save multiple addresses per customer — apartment, house, or office — with region, street, floor, and delivery instructions. The default address fills in automatically on delivery orders.
customerManagement.features.items.notes.description	Keep notes only your team can see — preferences, allergies, special instructions, or how they like their order packed. Small details that make customers feel known.
customerManagement.features.items.recordVisit.description	Log purchases that happened outside the system — sales from before Cashvio, or offline sales — so a customer's totals reflect their real history with your shop.
customerManagement.features.items.newOrder.description	A New Order button on every customer's page opens the sale screen with that customer already attached — their credit balance visible and their address ready.
customerManagement.storeCredit.subtitle	Instead of handing cash back out of the drawer, offer credit that keeps the money in your business — tracked to the pound.
customerManagement.storeCredit.refund.description	When you process a refund, choose Store Credit as the method — the amount is added to the customer's balance the moment the refund is processed.
customerManagement.storeCredit.automatic.description	The balance is managed entirely by orders and refunds — nobody can fat-finger it. It shows green on the customer list, so the whole team sees it at a glance.
customerManagement.faq.items.q1.answer	Just a phone number. Name, date of birth, notes, and address are all optional — you can add them later as you get to know the customer.
customerManagement.faq.items.q2.answer	Yes. Customers are optional on every sale. Attach one when you want the order on their record — for history, store credit, or delivery.
customerManagement.faq.items.q3.answer	Issue a refund and choose Store Credit as the refund method. The amount is added to their balance automatically when the refund is processed. There is no manual "add credit" button — every credit comes from a real, recorded refund.
customerManagement.faq.items.q5.answer	Yes — save as many as needed (apartment, house, office) and mark one as the default. On delivery orders, the default fills in automatically, and you can switch to any saved address.
customerManagement.cta.description	Create your free account and attach a customer to your next sale — that is all it takes to start building real customer records.
customerManagement.screenshot.caption	Live view — customers
salesAnalytics.hero.subtitle	Revenue, profit, best sellers, peak hours, staff performance — six ready reports built from your real sales. Every number compares itself to the previous period, and the Insights tab tells you in plain words what to do about it.
salesAnalytics.problem.items.gutFeeling.description	Which products to reorder, when to schedule staff, what to put on sale — most shops guess. Guessing works until a competitor stops guessing.
salesAnalytics.problem.items.hiddenPatterns.description	Which product actually carries the shop? Which hours are dead? What sells on weekends? The data exists in your sales — but not in a form you can read.
salesAnalytics.tabs.subtitle	Reports build themselves from your sales — open the Reports page and they are simply there.
salesAnalytics.tabs.items.overview.description	Revenue, gross profit, orders, average order value, items sold, discounts, tax, and new customers — each with its change versus the previous period.
salesAnalytics.tabs.items.insights.description	Health scores per area, issues that need attention now, opportunities, recent wins — each with concrete recommended actions.
salesAnalytics.features.items.byChannel.description	Storefront, portal, Instagram, WhatsApp, phone orders — see which channels actually bring revenue before you spend another marketing pound.
salesAnalytics.features.items.byPayment.description	How customers actually pay — cash, online, receipt transfers, store credit — so drawer counts and settlement reports stop being surprises.
salesAnalytics.features.items.storeVisits.description	Unique, new, and returning visitors to your online store — see whether your store is getting discovered and who comes back.
salesAnalytics.features.items.csvExport.description	Export the sales data behind the Overview tab to CSV — for your accountant, your spreadsheet, or your own deeper analysis.
salesAnalytics.insights.subtitle	The Insights tab analyzes your sales, products, customers, and returns — then talks to you like a sharp business partner, not a dashboard.
salesAnalytics.insights.items.health.description	One overall business health score, plus per-area scores for revenue, products, customers, profit, stores, and returns — know at a glance where it hurts.
salesAnalytics.insights.items.attention.description	Critical issues surfaced automatically — a high discount rate, a product bleeding margin, a spike in returns — before they show up in your bank balance.
salesAnalytics.insights.items.actions.description	Every insight comes with concrete recommendations, the expected impact, and a priority — so the next step is decided, not debated.
salesAnalytics.howItWorks.step2.description	Open Reports, choose day, week, month, or a custom range. Every metric shows its change versus the previous period — up, down, and by how much.
salesAnalytics.howItWorks.step3.description	Read the Insights tab like a briefing: what needs attention, what to double down on, and what to fix — each with a recommended action.
salesAnalytics.faq.items.q2.answer	Profit uses the cost price you set on each product variant: selling price minus cost. Keep cost prices up to date — especially when supplier prices change — and your margins stay honest.
salesAnalytics.faq.items.q3.answer	Yes, automatically. Every metric shows its change versus the previous period — pick month view and each number compares against the month before.
salesAnalytics.faq.items.q6.answer	It converts your numbers into plain-language guidance: health scores per area, critical issues, warnings, opportunities, and recent wins — each with recommended actions, expected impact, and priority.
salesAnalytics.cta.description	Create a free account, make a few sales, and open Reports — your first real numbers are minutes away.
salesAnalytics.screenshot.caption	Live view — analytics
purchaseOrders.problem.subtitle	A voice note to the supplier, a price agreed on the phone, a delivery checked by memory — until quantities do not match and nobody can prove anything.
purchaseOrders.problem.items.uncheckedDeliveries.description	Boxes arrive, someone shelves them, and the count in your head becomes the count in your stock. Missing items are discovered weeks later — too late to claim.
purchaseOrders.features.subtitle	From "we are running low" to "it is on the shelf" — every step has a record, a status, and a number.
purchaseOrders.features.items.wizard.description	Pick the store and supplier, add products with quantities and agreed unit costs, then set the expected delivery date, delivery fees, and notes. Done — the PO is created as a draft.
purchaseOrders.features.items.statuses.description	Draft, Approved, Partially Received, Completed, Cancelled — every purchase order tells you exactly where it stands at a glance.
purchaseOrders.features.items.approval.description	Approving a PO requires typing APPROVE — a small speed bump that prevents expensive accidental orders. Cancelling works the same way.
purchaseOrders.features.items.receiving.description	When a delivery arrives, enter what actually came — item by item. The PO tracks ordered, received, and remaining counts until everything is in.
purchaseOrders.features.items.suppliers.description	Keep every supplier's name, phone, email, and address in one place — and pick them in one tap when creating a purchase order.
purchaseOrders.features.items.history.description	Open a supplier to see every purchase order you ever placed with them — quantities, costs, and statuses. Negotiate the next price knowing the last five.
purchaseOrders.features.items.filters.description	Find any PO by number, store, supplier, status, or date range — no more digging through paper files or chat threads.
purchaseOrders.howItWorks.step2.description	Review the draft and approve it by typing APPROVE. The order is now official — waiting for delivery, visible to your team, and impossible to lose.
purchaseOrders.howItWorks.step3.description	When boxes arrive, enter the received quantity per item — all of it or just what came. Stock goes up instantly, and the PO closes itself when everything is in.
purchaseOrders.effects.items.created.effect	Nothing changes — it is a record of intent, not stock
purchaseOrders.effects.items.cancelled.effect	Nothing changes — the order is voided with no stock movement
purchaseOrders.faq.items.q1.answer	Yes. Enter the quantity that actually arrived per item — the PO becomes Partially Received and keeps tracking the remaining quantities until everything is in, then completes itself.
purchaseOrders.faq.items.q2.answer	No. Creating and approving a PO changes nothing in inventory — it is a record of what you ordered. Stock only increases when you receive it, by the quantities you actually received.
purchaseOrders.faq.items.q4.answer	Yes. The supplier's page shows their full purchase order history — with the same view, approve, cancel, and receive actions as the main PO list — plus a button to start a new PO with them pre-selected.
purchaseOrders.faq.items.q8.answer	Yes. Purchase order permissions are fine-grained — view, create, edit, approve, receive, and cancel are separate permissions you assign per role.
purchaseOrders.cta.description	Create your free account, add your suppliers, and place your first purchase order — the days of restocking by memory are over.
purchaseOrders.screenshot.caption	Live view — purchase orders
returnsAndRefunds.hero.subtitle	A clear process for the least fun part of retail: item-level returns with recorded reasons, control over what goes back on the shelf, an approval step, and four refund methods — including store credit that keeps the money in your business.
returnsAndRefunds.problem.subtitle	Every shop gets returns. The damage is not the return itself — it is the missing record, the wrong stock count, and the cash that left the drawer with no trace.
returnsAndRefunds.problem.items.noProcess.description	No process means whoever is at the counter decides. One employee refunds everything, another refuses everything — and customers learn to argue.
returnsAndRefunds.returnTypes.items.returnOnly.description	Goods come back with no money out — an exchange, a warranty case, or store policy. Inventory is corrected without touching the cash.
returnsAndRefunds.returnTypes.items.refundOnly.description	Money goes back with no goods returned — a compensation, a goodwill gesture, or an item the customer keeps. The refund is recorded against the order.
returnsAndRefunds.features.subtitle	Item by item, reason by reason — the return flow asks the right questions so your stock and your money stay correct.
returnsAndRefunds.features.items.restockControl.description	Decide per item whether it goes back into sellable stock. Damaged, expired, or contaminated items are marked with a non-restock reason instead — never resold by accident.
returnsAndRefunds.features.items.restockingFee.description	Charge a restocking fee on returned items when your policy calls for it — recorded on the return, deducted from the refund.
returnsAndRefunds.features.items.reasons.description	Every return carries a reason — changed mind, wrong item, defective, damaged, size issue, and more. Reasons feed the Returns report so patterns become visible.
returnsAndRefunds.features.items.approval.description	Returns are created as pending, then approved, rejected, or cancelled — rejections and cancellations require a written reason. Stock only moves on approval.
returnsAndRefunds.features.items.approval.subs	Pending → Approved • Reject With Reason • Audit Trail
returnsAndRefunds.features.items.pendingProcess.description	Creating a refund does not move money by itself. A pending refund is processed explicitly — or cancelled with a reason — so the books match the drawer.
returnsAndRefunds.features.items.pendingProcess.subs	Pending → Completed • Explicit Processing • Cancel With Reason
returnsAndRefunds.howItWorks.step2.description	A pending return is reviewed and approved — or rejected with a written reason. On approval, restockable items go back into inventory automatically.
returnsAndRefunds.howItWorks.step3.description	Create the refund — full or partial — pick the method, and process it. Store credit refunds land on the customer's balance the moment they are processed.
returnsAndRefunds.refundMethods.items.cash.when	The customer paid cash and wants cash back — straight from the drawer, recorded
returnsAndRefunds.refundMethods.items.online.when	Refunding a digital payment — available when the original payment was online
returnsAndRefunds.refundMethods.items.storeCredit.when	The refund becomes balance on the customer's account — money stays in your business
returnsAndRefunds.faq.items.q1.answer	Yes — that is the Refund Only type. Money is returned against the order with no return record and no inventory movement. Useful for compensations and goodwill gestures.
returnsAndRefunds.faq.items.q2.answer	Yes — Return Only. The items are returned and restocked (or marked non-restockable) with no money out. Useful for exchanges and warranty flows.
returnsAndRefunds.faq.items.q4.answer	No — returns and refunds are separate deliberate steps. Approving a return settles the goods; you then create and process a refund to settle the money. Nothing moves by accident.
returnsAndRefunds.faq.items.q5.answer	Choose Store Credit as the refund method (the order must have a customer attached). When the refund is processed, the amount is added to the customer's balance — which they can spend on any future order.
returnsAndRefunds.faq.items.q7.answer	Yes. When restocking a returned item you can add a restocking fee — it is recorded on the return and reflected in the refund amount.
returnsAndRefunds.faq.items.q8.answer	Yes. The Returns report shows your return rate, the reasons breakdown, the most-returned products, and the total value of returns — so recurring problems surface instead of repeating.
returnsAndRefunds.cta.description	A clear process, correct stock, and refunds with a paper trail — set it up free in minutes.
returnsAndRefunds.screenshot.caption	Live view — returns
multiStoreManagement.hero.subtitle	Each branch keeps its own stock, prices, payment methods, and receipts — and you see all of them from one dashboard. Transfer stock between stores, limit staff to their branch, and compare branches side by side.
multiStoreManagement.problem.subtitle	One shop fits in your head. Two do not. The moment you open a second branch, every question — stock, prices, staff, numbers — has two answers that do not talk to each other.
multiStoreManagement.problem.items.stockBlindness.description	A customer wants a size that is out here — is it available downtown? Without shared visibility, the answer is a phone call, a wait, and often a lost sale.
multiStoreManagement.problem.items.priceDrift.description	A price update reaches one branch and not the other. Customers notice before you do — and it never feels good to explain.
multiStoreManagement.features.items.oneAccount.description	Add branches as your plan allows — a shop, a warehouse, a kiosk. Your first store is created automatically when you sign up; the rest take a minute each.
multiStoreManagement.features.items.perStorePricing.description	Set store-specific prices per product variant when branches serve different areas or customer segments — deliberately, not by accident.
multiStoreManagement.features.items.transfers.description	Move inventory from one branch to another with a recorded transfer — quantities leave one store, arrive at the other, and the trail is kept.
multiStoreManagement.features.items.perStoreConfig.description	Currency, payment methods, fulfillment options, delivery zones, service fees, receipt content, and sales channels — all configured per store.
multiStoreManagement.features.items.scopedRoles.description	Assign roles business-wide or scoped to a single store. A cashier in the downtown branch sees downtown — nothing else.
multiStoreManagement.howItWorks.subtitle	The setup is minutes, not weeks — because everything you built for the first store carries over.
multiStoreManagement.howItWorks.step1.description	Name, currency, contact details, address — save, and the branch exists with its own automatically generated store code.
multiStoreManagement.howItWorks.step2.description	Enable its payment methods, set fulfillment options and delivery zones, adjust receipt details, and stock it — fresh, or by transferring from another branch.
multiStoreManagement.howItWorks.step3.description	Staff sell in their own branch; you watch all branches from one dashboard — stock, orders, and revenue per store, compared automatically.
multiStoreManagement.perStore.title	What Is Separate Per Store — and What Is Shared
multiStoreManagement.perStore.items.catalogue.scope	Shared — define products once, sell them in any store
multiStoreManagement.perStore.items.inventory.scope	Per store — every variant has its own stock count in each branch
multiStoreManagement.perStore.items.payments.scope	Per store — each branch enables what it accepts
multiStoreManagement.perStore.items.fulfillment.scope	Per store — pickup, delivery areas, and fees per branch
multiStoreManagement.perStore.items.receipts.scope	Per store — each branch prints its own details
multiStoreManagement.perStore.items.channels.scope	Per store — enable channels per branch
multiStoreManagement.perStore.items.staff.scope	Your choice — business-wide or scoped to one store
multiStoreManagement.faq.items.q1.answer	It depends on your plan — each plan includes a number of stores. Your first store is created automatically when you sign up, and you can add more from Settings as your plan allows.
multiStoreManagement.faq.items.q2.answer	Yes. Stock transfers move quantities between stores with a full record — what moved, from where, to where, and when. No spreadsheet reconciliation.
multiStoreManagement.faq.items.q4.answer	Yes. Currency is set per store — useful when branches operate in different markets.
multiStoreManagement.faq.items.q6.answer	Yes. Reports break down by store — revenue share per branch, plus filters across orders and inventory. Click a branch in the Sales by Store chart to open its orders.
multiStoreManagement.faq.items.q7.answer	The branch stops accepting new activity but loses nothing — its history, stock records, and settings stay intact. You can reactivate it any time.
multiStoreManagement.cta.description	Start free with your first store — and when the second branch opens, it takes minutes to bring it in.
multiStoreManagement.screenshot.caption	Live view — stores
teamManagement.hero.subtitle	Stop sharing the owner's password. Give each team member their own account with exactly the permissions their job needs — a cashier sells, an accountant sees money, a warehouse worker touches stock — and every action is recorded under their name.
teamManagement.problem.items.sharedLogin.description	The whole team on one login means every employee can see profits, change prices, delete products, and cancel orders — whether they should or not.
teamManagement.problem.items.allOrNothing.description	You want the new hire to ring up sales — not to see revenue reports or edit the catalogue. Without roles, you cannot give one without the other.
teamManagement.problem.items.exStaffRisk.description	Someone leaves, and the password they know still works. Changing it means telling everyone the new one — and the cycle repeats.
teamManagement.features.items.invite.description	Enter their name, email, username, and role. Cashvio generates a temporary password you hand over yourself — no invitation emails to get lost, and you can reset it any time.
teamManagement.features.items.permissions.description	Permissions follow an action-on-resource model: view orders, create products, approve purchase orders, process refunds — grant exactly what each role needs, nothing more.
teamManagement.features.items.systemRoles.description	Tenant Admin for full access, Cashier for day-to-day selling, Accountant for financial visibility — usable from day one, no configuration needed.
teamManagement.features.items.customRoles.description	Create as many roles as your team needs — a Warehouse Staff role limited to inventory and purchase orders, a Supervisor role that can cancel orders. Name it, tick the permissions, save.
teamManagement.features.items.adaptiveUI.description	Team members only see the menus, buttons, and quick actions their permissions allow. No forbidden buttons, no confusion — a cashier's screen is a cashier's screen.
teamManagement.features.items.deactivate.description	Someone leaving? Deactivate their account — login blocked instantly, history intact. If they come back, reactivate in one click.
teamManagement.howItWorks.step1.description	Start with a ready-made role — Cashier, Accountant — or create a custom one and tick exactly the permissions the job needs.
teamManagement.howItWorks.step2.description	Enter their details, assign the role — business-wide or scoped to one store — and hand them the temporary password Cashvio generates.
teamManagement.howItWorks.step3.description	They log in and see only their job. Orders, adjustments, and returns they create carry their name — and the Staff report shows how everyone performs.
teamManagement.permissionGroups.subtitle	Each resource has its own set of actions — grant them per role, and View is included automatically whenever you grant an action.
teamManagement.faq.items.q1.answer	No. Cashvio generates a temporary password and shows it once with a copy button — you share it with the team member yourself, in person or through a channel you trust. If it is lost, set a new password from their profile.
teamManagement.faq.items.q2.answer	Their username or email plus their password. Each person has their own credentials — the owner's password stays with the owner.
teamManagement.faq.items.q4.answer	Three system roles ship with Cashvio: Tenant Admin (full access), Cashier (day-to-day selling), and Accountant (financial visibility). They cannot be edited — but you can create unlimited custom roles alongside them.
teamManagement.faq.items.q5.answer	Yes — grant only the View permission for that resource. Granting any action (create, edit, delete) automatically includes View, because nobody can edit what they cannot see.
teamManagement.faq.items.q6.answer	Deactivate their account — their login stops working immediately, and everything they ever created keeps their name for your records. Reactivate any time if they return.
teamManagement.faq.items.q8.answer	Yes. The Staff report shows revenue per team member, orders processed per person, and performance trends — useful for scheduling, targets, and rewards.
teamManagement.screenshot.caption	Live view — store team workspace
tools.hero.subtitle	A barcode generator, a QR code generator, and a profit-margin calculator — free, in your browser, no signup needed.
tools.items.margin.description	See profit, margin, and markup from your numbers — or work backwards from a target margin to a price.
tools.cta.subtitle	Cashvio gives you a free POS, a free online store, inventory, and profit reports — these tools are just the warm-up.
tools.cta.note	Free forever plan — no credit card needed
barcodeGenerator.tool.formats.CODE128	Code 128 — any text, best for SKUs
barcodeGenerator.tool.formats.EAN13	EAN-13 — retail standard, 12–13 digits
barcodeGenerator.tool.ean13Hint	Enter 12 digits and the check digit is computed for you — or 13 digits with a valid check digit.
barcodeGenerator.pitch.subtitle	Cashvio turns your product catalog into printable A4 label sheets — and every scan at the register updates your stock.
barcodeGenerator.pitch.p3.description	Every scanned sale adjusts inventory automatically — no counting notebooks.
barcodeGenerator.faq.q1.answer	Yes — generate and download as many barcodes as you like. No watermark, no account, no limits.
barcodeGenerator.faq.q2.answer	Use Code 128 for internal SKUs — it accepts letters and numbers and scans reliably on any modern scanner. Use EAN-13 only when you need the 13-digit retail standard.
barcodeGenerator.cta.subtitle	Import your products into Cashvio and print whole barcode label sheets in one click — on the free plan.
barcodeGenerator.cta.note	Free forever plan — no credit card needed
qrCodeGenerator.hero.subtitle	Make a QR code for your store link, WhatsApp number, or menu — and download a high-resolution PNG that stays scannable in print.
qrCodeGenerator.steps.s3.description	Pick a size — bigger prints need bigger sizes — and save the PNG.
qrCodeGenerator.pitch.subtitle	Cashvio gives your shop a free online store — and prints the QR materials for you.
qrCodeGenerator.pitch.p1.description	Your products on your own store link, ready to take orders — live in minutes.
qrCodeGenerator.pitch.p3.description	Printed receipts carry a QR to the digital receipt — customers keep the link, you look professional.
qrCodeGenerator.faq.q1.answer	Free and unlimited — and the codes never expire, because the image itself encodes your text permanently.
qrCodeGenerator.faq.q3.answer	Yes — paste a wa.me link with your number and the code opens a chat with you when scanned.
qrCodeGenerator.cta.note	Free forever plan — no credit card needed
marginCalculator.hero.subtitle	See profit, margin, and markup from your cost and price — or set a target margin and get the selling price to charge.
marginCalculator.tool.sellingBelowCost	You're selling below cost — this price loses money.
marginCalculator.tool.marginTooHigh	Margin must be below 100% — no selling price can reach it.
marginCalculator.steps.s1.description	Include what the unit truly costs you — purchase price, packaging, delivery to your shop.
marginCalculator.steps.s3.description	Profit per unit, margin (share of price), and markup (share of cost) — updated live.
marginCalculator.pitch.subtitle	Cashvio tracks the real numbers automatically — per product and per sale.
marginCalculator.pitch.p3.description	Profit reports show which products actually earn — not just which ones sell.
marginCalculator.faq.q2.answer	It depends on the category — groceries often run 10–25%, clothing and accessories 40–60%. Watch your own numbers per product rather than a universal rule.
marginCalculator.faq.q3.answer	Yes — it records cost and profit on every sale and shows margin per product in the profit report, on the free plan.
marginCalculator.cta.title	Know your real profit — automatically
marginCalculator.cta.note	Free forever plan — no credit card needed
industryCafe.hero.subtitle	Fast checkout, custom orders, and live order statuses — free for your coffee shop, juice bar, or dessert spot.
industryCafe.pains.p1.description	Handwritten orders slow the line — and slow lines lose customers who just want their coffee.
industryCafe.pains.p2.description	Extra shot, oat milk, no sugar — details scribbled on cups get missed and remade.
industryCafe.features.f3.description	Per-item notes — extra shot, less ice — print with the order so nothing gets remade.
industryCafe.features.f6.description	Sales and profit for the day — by product and by staff member.
industryCafe.faq.q1.answer	Yes — the POS runs in the browser on tablets, laptops, and phones. No special hardware required.
industryCafe.faq.q2.answer	Yes — the free plan includes an online store on your own link where customers browse the menu and order for pickup or delivery.
industryCafe.faq.q3.answer	Yes — thermal receipt printers are supported, plus digital receipts customers can open from a QR code.
industryCafe.cta.subtitle	Free for your cafe — no credit card, no sales call.
industryClothing.hero.subtitle	Variants, barcode labels, returns with store credit, and a free online boutique — built for fashion retail.
industryClothing.pains.p1.description	One t-shirt is really twelve products — S to XXL in four colors — and paper can't track which one sold.
industryClothing.pains.p2.description	Wrong-size returns without records turn into arguments — and quietly leak money.
industryClothing.features.f1.description	Sizes and colors as proper variants — each with its own SKU, stock count, and price.
industryClothing.features.f3.description	Accept returns with recorded reasons and refund to store credit — the money stays in your shop.
industryClothing.faq.q1.answer	Yes — upload a CSV or Excel file with the import wizard; it validates sizes, prices, and SKUs before anything is saved.
industryClothing.faq.q2.answer	Pick the items, record the reason, choose whether to restock, and refund by cash or store credit — every step is logged.
industryClothing.faq.q3.answer	Yes — the storefront shows availability per size and color, and out-of-stock variants can't be ordered.
industryClothing.cta.subtitle	Free for your boutique — start with your bestsellers today.
industryMinimarket.hero.subtitle	Scan-to-sell checkout, a digital credit book, low-stock alerts, and supplier orders — free for minimarkets and grocery shops.
industryMinimarket.pains.p1.description	Neighbors buy on credit, and the notebook decides your cash flow — until a page goes missing.
industryMinimarket.features.f1.description	Plug in a USB barcode scanner and fly through checkout — items ring up instantly.
industryMinimarket.features.f2.description	Sell now, collect later — partial payments, due dates, and an overdue list per customer.
industryMinimarket.features.f6.description	Daily sales and real profit after costs — by product and by cashier.
industryMinimarket.faq.q1.answer	Yes — any USB (keyboard-wedge) scanner works out of the box: scan, and the item lands in the ticket.
industryMinimarket.faq.q2.answer	Yes — record partial or pay-later sales with due dates, and see exactly who owes what in the overdue list.
industryMinimarket.faq.q3.answer	Yes — the free plan includes the POS, inventory, purchase orders, and reports, with unlimited products and orders.
industryMinimarket.cta.subtitle	The register, the stock, and the credit book — one free system.
