metadata.features.title	"المميزات — كاشير مجاني ومخزون ومتجر إلكتروني"
omnichannelRetail.inventory.features.lowStockAlerts.description	"حدد حداً أدنى لكل منتج في كل فرع، ويصلك تنبيه قبل ما ينفد — لا بعد ما تخسر البيعة."
omnichannelRetail.orders.subtitle	"بيعة من الكاشير أو طلب من الموقع أو رسالة واتساب — كل الطلبات تدخل نفس القائمة وتتابع بنفس الخطوات."
omnichannelRetail.orders.features.flexibleFulfillment.description	"توصيل أو استلام من الفرع أو تناول في المكان — ولكل منطقة توصيل سعرها الخاص."
omnichannelRetail.analytics.features.unifiedProfitTracking.description	"تابع التكلفة والسعر والخصومات في كل القنوات، واعرف ربحك الحقيقي — ليس أرقاماً متفرقة."
omnichannelRetail.faq.q2.answer	"نعم وفوراً. بعت قطعة في المحل؟ ينقص المخزون على الموقع في نفس اللحظة. اشترى عميل من الموقع؟ يتحدث مخزون المحل مباشرة — بدون أي مزامنة يدوية."
omnichannelRetail.faq.q3.answer	"نعم. العميل الذي اشترى من الموقع يمكنه الإرجاع في أي فرع من فروعك. يرجع المنتج للمخزون تلقائياً ويرجع المبلغ بنفس طريقة الدفع — وكل شيء مسجل في النظام."
omnichannelRetail.faq.q4.answer	"لا. كاشفيو يشمل متجراً إلكترونياً مدمجاً: صفحات منتجات وسلة ودفع ومتابعة طلبات — كلها على نفس مخزونك وعملائك. بدون اشتراك خارجي إضافي."
omnichannelRetail.cta.subtitle	"خلاص من الأنظمة المنفصلة. بع في كل مكان من لوحة واحدة — مجاناً."
omnichannelRetail.screenshot.caption	"عرض مباشر — الطلبات متعددة القنوات"
omnichannelRetail.screenshot.companionCaption	"عرض مباشر — الطلبات على الجوال"
inventoryManagement.hero.subtitle	"اعرف كمية كل منتج بكل مقاساته وألوانه في كل فرع، لحظة بلحظة. تنبيهات قبل النفاد، وأوامر شراء، وبيانات الموردين، وسجل لكل تغيير — بدون جداول إكسل وبدون رسوم شهرية."
inventoryManagement.hero.cta	"ابدأ مجاناً — بدون بطاقة ائتمان"
inventoryManagement.problem.painPoints.manualCounting.description	"غلطة عد واحدة تجعل أرقامك خاطئة لأسابيع — ولا تكتشفها إلا عندما يطلب عميل منتجاً غير موجود فعلاً."
inventoryManagement.problem.painPoints.noVariantTracking.description	"الجدول يقول عندك 50 تيشيرت — لكن أي مقاس؟ أي لون؟ فتطلب المقاسات الخاطئة ويفوتك ما يُباع فعلاً."
inventoryManagement.problem.painPoints.multiStoreBlind.description	"لو عندك أكثر من فرع، تضطر تتصل بكل فرع لتسأل عن البضاعة — ولا توجد طريقة تعرف ما عند كل فرع إلا بنفسك."
inventoryManagement.problem.painPoints.noAlerts.description	"لا تعرف أن المنتج خلص إلا لما يسأل عنه عميل — وساعتها تكون خسرت البيعة وربما العميل."
inventoryManagement.problem.painPoints.disconnectedPurchasing.description	"تطلب من المورد بالتخمين أو بعد ما تخلص البضاعة — فإما تشتري أكثر من اللازم أو ينفد المخزون."
inventoryManagement.solution.points.perVariantTracking.description	"كل نسخة من المنتج — المقاس واللون والخامة — لها رقم مخزون خاص في كل فرع. تعرف بالضبط كم تيشيرت \"وسط أزرق\" في فرع وسط البلد الآن."
inventoryManagement.solution.points.automaticUpdates.description	"عميل اشترى؟ ينقص. إرجاع تمت الموافقة عليه؟ يزيد. بضاعة وصلت من المورد؟ تضاف. نقل بين فرعين؟ يتحدث الاثنان — كل ذلك بدون إدخال يدوي."
inventoryManagement.coreFeatures.subtitle	"من الباركود إلى التعديلات الجماعية — كل عمليات المخزون التي يحتاجها محلك، وكلها في الباقة المجانية."
inventoryManagement.coreFeatures.features.transfers.description	"انقل بضاعة من فرع لآخر بطلب نقل مسجل — ينقص من المرسل ويزيد عند المستلم تلقائياً."
inventoryManagement.coreFeatures.features.lowStockAlerts.description	"حدد حداً أدنى لكل منتج في كل فرع، وشاهد كل المنتجات القليلة في شاشة واحدة — قبل ما تخسر أي بيعة."
inventoryManagement.coreFeatures.features.bulkOperations.description	"عدّل مئات المنتجات دفعة واحدة، وسجّل الفاقد والتالف والاستلام بالجملة — مع سجل يوضح من غيّر ماذا ومتى."
inventoryManagement.purchaseOrders.title	"من تنبيه النقص إلى الرف — بدون عناء"
inventoryManagement.purchaseOrders.subtitle	"شاهد المنتجات التي قاربت على النفاد، وأنشئ أمر شراء لموردك، واستلم البضاعة — كل ذلك في نظام واحد."
inventoryManagement.purchaseOrders.features.createPO.description	"اختر الفرع والمورد، وأضف المنتجات بالكميات والأسعار، وحدد موعد التسليم — بخطوات واضحة ترشدك."
inventoryManagement.purchaseOrders.features.receiveStock.description	"عند وصول البضاعة، افتح أمر الشراء واضغط \"استلام\"، وأكد الكميات — ويتحدث المخزون فوراً."
inventoryManagement.multiStore.features.independentStock.description	"كل فرع له أرقامه الخاصة: فرع وسط البلد عنده 20 قطعة وفرع المول عنده 5 — كل فرع يُدار على حدة."
inventoryManagement.multiStore.features.storePricing.description	"حدد سعراً مختلفاً لكل فرع — فرع المول غير فرع الحي — من نفس قائمة المنتجات."
inventoryManagement.automaticStock.subtitle	"لا تعدّل المخزون يدوياً — كاشفيو يحدّثه تلقائياً مع كل ما يحدث في تجارتك."
inventoryManagement.comparison.subtitle	"شاهد الفرق بين المتابعة اليدوية ونظام مخزون حقيقي — مجاناً."
inventoryManagement.comparison.rows.variantTracking.cashvio	"تلقائية — لكل مقاس ولون رقمه الخاص"
inventoryManagement.comparison.rows.alerts.others	"لا شيء — تكتشف النفاد عند الكاشير"
inventoryManagement.comparison.rows.auditTrail.others	"لا سجل — الخلية اتكتبت فوقها"
inventoryManagement.faq.q1.answer	"نعم. الباقة المجانية للأبد تشمل متابعة المخزون كاملة والتنبيهات والتعديلات وأوامر الشراء وبيانات الموردين لفرع واحد — بدون فترة تجريبية وبدون بطاقة ائتمان."
inventoryManagement.faq.q3.answer	"ينقص تلقائياً عند اكتمال الطلب، ويرجع لو أُلغي الطلب. ولو أرجع العميل منتجاً وتمت الموافقة، يزيد المخزون — إلا لو كان المنتج تالفاً. كل ذلك بدون تدخل يدوي."
inventoryManagement.faq.q5.answer	"تختار الفرع والمورد وتضيف المنتجات بالكميات والأسعار وموعد التسليم. وعند وصول البضاعة تضغط \"استلام\" وتؤكد الكميات — ويتحدث مخزونك فوراً."
inventoryManagement.faq.q6.answer	"لا. المتابعة اختيارية لكل منتج. المنتجات بدون متابعة تظهر دائماً كمتوفرة — وهذا مناسب للخدمات والمنتجات حسب الطلب."
inventoryManagement.faq.q8.answer	"نعم. المتجر الإلكتروني يعمل على نفس المخزون، فأي تغيير — من الكاشير أو الموقع أو تعديل يدوي — يظهر في كل مكان فوراً بدون أي مزامنة منفصلة."
inventoryManagement.screenshot.caption	"عرض مباشر — المخزون"
inventoryManagement.screenshot.companionCaption	"عرض مباشر — المخزون على الجوال"
freePos.hero.subtitle	"كاشفيو يعطيك نقاط بيع كاملة لمحلك — شاشة كاشير، صندوق نقد، ورديات، إيصالات، ومخزون محدث لحظة بلحظة. باقة مجانية 100%، بدون فترة تجربة وبدون بطاقة ائتمان."
freePos.hero.cta	"ابدأ مجاناً — بدون بطاقة"
freePos.hero.trust	"باقة مجانية حقيقية — ليست تجربة 14 يوم"
freePos.solution.subtitle	"كل ما تحتاجه للبيع في محلك موجود في الباقة المجانية — وتبقى مجانية."
freePos.solution.points.fastSetup.description	"سجّل، أضف منتجاتك، وابدأ البيع. يعمل على أي كمبيوتر أو تابلت أو هاتف — بدون أجهزة خاصة."
freePos.features.items.receipts.description	"اطبع إيصالات حرارية أو أرسل رابط إيصال رقمي — بالعربية أو الإنجليزية."
freePos.features.items.reports.description	"شاهد مبيعات اليوم وأفضل المنتجات والربح — من هاتفك."
freePos.comparison.rows.price.cashvio	"0 — مجاني للأبد"
freePos.faq.q1.answer	"نعم. الباقة المجانية مجانية للأبد — شاشة الكاشير والإيصالات والمخزون والتقارير كلها مشمولة. تدفع فقط لو احتجت مميزات متقدمة أو حدوداً أعلى."
freePos.faq.q5.answer	"نعم — واجهة عربية كاملة وإيصالات عربية وتصميم من اليمين لليسار، وكل موظف يختار لغته."
freePos.cta.subtitle	"سجّل في دقيقتين، أضف منتجاتك، واعمل أول عملية بيع — مجاناً."
freePos.screenshot.caption	"عرض مباشر — الكاشير على الويب"
freePos.screenshot.companionCaption	"عرض مباشر — الكاشير على الجوال"
freeOnlineStore.hero.subtitle	"أنشئ متجراً إلكترونياً مجانياً في دقائق — منتجاتك وأسعارك ومخزونك تتزامن تلقائياً مع كاشير محلك. بدون عمولات، بدون اشتراك شهري، وبدون برمجة."
freeOnlineStore.hero.trust	"باقة مجانية للأبد — بدون عمولة على مبيعاتك"
freeOnlineStore.problem.painPoints.commissions.description	"بعض المنصات تأخذ نسبة من كل طلب — كلما بعت أكثر خسرت أكثر."
freeOnlineStore.problem.painPoints.deliveryChaos.description	"الطلبات تصل بالهاتف والمحادثات بدون نظام — عناوين تضيع وطلبات تُنسى."
freeOnlineStore.solution.points.oneInventory.description	"المخزون يتحدث لحظة البيع — في المحل أو أونلاين. لا بيع لمنتج منتهي."
freeOnlineStore.features.subtitle	"متجرك المجاني يأتي كاملاً — ليس نسخة تجريبية منقوصة."
freeOnlineStore.features.items.catalog.description	"صور وخيارات (مقاس، لون) وأسعار وتصنيفات — منظمة وسهلة البحث."
freeOnlineStore.posLink.items.orders.description	"طلبات الأونلاين ومبيعات المحل في مكان واحد — لا شيء يضيع."
freeOnlineStore.posLink.items.reports.description	"شاهد تجارتك كلها — المحل والأونلاين — في تقرير يومي واحد."
freeOnlineStore.comparison.rows.price.cashvio	"0 — مجاني للأبد"
freeOnlineStore.faq.q4.answer	"نعم — متجر عربي حقيقي من اليمين لليسار، أو إنجليزي، أو الاثنان."
freeOnlineStore.faq.q8.answer	"لا. أضف منتجاتك بالصور والأسعار وشارك رابط متجرك — هذا كل شيء."
freeOnlineStore.cta.subtitle	"منتجاتك أونلاين في دقائق — متزامنة مع كاشير مجاني لمحلك."
freeOnlineStore.screenshot.caption	"عرض مباشر — كتالوج المنتجات على الويب"
freeOnlineStore.screenshot.companionCaption	"عرض مباشر — كتالوج المنتجات على الجوال"
orderManagement.hero.subtitle	"طلبات الكاشير والمتجر الإلكتروني وطلبات الهاتف كلها تصل إلى قائمة واحدة. اعرف ما الذي يُحضَّر الآن، وما الذي خرج للتوصيل، ومن لم يدفع بعد — وأرسل للعميل تحديثاً على واتساب بضغطة واحدة."
orderManagement.problem.subtitle	"دفتر عند الكاشير، ومحادثة واتساب، وأوراق توصيل فوق بعضها — تمشي الأمور حتى يأتي يوم مزدحم، فيضيع طلب ولا أحد يعرف ماذا حدث."
orderManagement.problem.items.unpaidForgotten.description	"عميل دفع النصف ووعد بالباقي الأسبوع القادم. بدون نظام يسجل تواريخ الاستحقاق، يعيش هذا الوعد في ذاكرة أحدهم — والذاكرة تنسى."
orderManagement.problem.items.noHistory.description	"طلب أُلغي، وخصم أُعطي، ودفعة تعدلت — من فعلها؟ ومتى؟ بدون سجل للطلب، يتحول كل خلاف إلى تخمين."
orderManagement.problem.items.manualReceipts.description	"كتابة الإيصالات بخط اليد أو إعادة كتابة تفاصيل الطلب في واتساب تضيع الوقت في أكثر لحظات اليوم زحاماً — وتظهر بشكل غير احترافي أمام العميل."
orderManagement.features.subtitle	"من لحظة إنشاء الطلب حتى يُدفع ويُسلَّم ويأخذ العميل إيصاله — كاشفيو يسجل كل خطوة."
orderManagement.features.items.oneList.description	"مبيعات الكاشير وطلبات المتجر الإلكتروني والطلبات التي يدخلها فريقك يدوياً — كلها في جدول واحد برقم الطلب والعميل والفرع والمصدر والإجمالي والحالة."
orderManagement.features.items.orderDetails.description	"افتح أي طلب لترى أصنافه ودفعاته واسترداداته وملاحظاته وعنوان التوصيل — مع سجل زمني لكل تغيير حالة وكل إجراء تم على الطلب."
orderManagement.features.items.overdue.description	"صفحة واحدة فيها كل الدفعات المجدولة — في موعدها أو قرب الاستحقاق أو متأخرة. تابع قبل أن تتراكم الديون، وعدّل تاريخ الاستحقاق لمن يحتاج مهلة."
orderManagement.features.items.whatsapp.description	"أرسل الإيصال الرقمي أو تحديث حالة الطلب على واتساب بضغطة واحدة. الرسالة تتوافق مع حالة الطلب الحالية — بدون أي إعداد وبدون حساب API، وتُرسل من واتساب الخاص بك."
orderManagement.features.items.filters.description	"صفِّ برقم الطلب أو الحالة أو الفترة أو الفرع أو حالة الدفع أو طريقة الدفع أو المصدر أو قناة البيع — ثم صدّر النتيجة إلى CSV لمحاسبك."
orderManagement.howItWorks.step2.description	"حدّث حالة التنفيذ مع تقدم الطلب — قيد التحضير، جاهز، قيد التوصيل. واضغط زر واتساب لإخبار العميل برسالة تناسب الحالة."
orderManagement.howItWorks.step3.description	"سجّل الدفعات كما تصل — كاملة أو جزئية أو مجدولة بتاريخ استحقاق. واعتمد دفعات الإيصال بعد مراجعة صورتها. اطبع الإيصال أو أرسله، وانتهى الطلب."
orderManagement.channels.title	"الطلبات تأتي من ثلاث جهات — وتُدار من مكان واحد"
orderManagement.channels.pos.description	"شاشة بيع بملء الشاشة: تصفح المنتجات، واختر النسخة، وأضف العميل، وطبّق كوبوناً أو خصماً، واقبض — نقدي مع حساب الباقي تلقائياً، أو إلكتروني، أو بإيصال تحويل."
orderManagement.channels.storefront.description	"طلبات المتجر تصل ببيانات العميل وعنوانه وطريقة الدفع التي اختارها. دفعات الكاش والإيصال تصل معلقة — وتعتمدها أنت بعد المراجعة."
orderManagement.channels.portal.description	"مكالمات الهاتف ورسائل واتساب وإنستغرام — يدخلها فريقك كطلبات يدوية ويحدد قناة البيع، فلا يبقى أي طلب حبيس المحادثات."
orderManagement.statuses.items.pending.meaning	"الطلب وصل — ولم يبدأ أحد فيه بعد"
orderManagement.statuses.items.completed.meaning	"الطلب وصل للعميل — انتهى"
orderManagement.statuses.items.cancelled.meaning	"أُلغي الطلب — والكمية المحجوزة ترجع للمخزون"
orderManagement.statuses.note	"حالة الدفع تُتابع بشكل منفصل: معلق، جزئي، مدفوع، مسترد — فتعرف دائماً موقف الفلوس أيضاً."
orderManagement.faq.items.q1.answer	"نعم. كل طلب — من الكاشير أو المتجر الإلكتروني أو المدخل يدوياً — يظهر في نفس قائمة المبيعات. كل طلب عليه علامة مصدره، ويمكنك التصفية به."
orderManagement.faq.items.q2.answer	"إلغاء الطلب المعلق يرجّع البضاعة تلقائياً — الكميات تعود كما كانت قبل الطلب، ما دامت متابعة المخزون مفعّلة لهذه المنتجات."
orderManagement.faq.items.q4.answer	"افتح صفحة المدفوعات المتأخرة. فيها كل دفعة مجدولة بتاريخ استحقاقها وحالتها — في موعدها أو قرب الاستحقاق أو متأخرة. ومنها تفتح الطلب لتسجل الدفعة أو تمدد الموعد."
orderManagement.faq.items.q5.answer	"لا. كاشفيو يفتح واتساب برسالة جاهزة — رابط الإيصال أو تحديث الحالة — وأنت تضغط إرسال من حسابك. يعمل مع أي واتساب، شخصي أو أعمال، وبدون أي إعداد."
orderManagement.faq.items.q7.answer	"دفعة الإيصال تحويل بنكي أو محفظة مثبت بصورة مرفوعة. عندما يدفع عميل المتجر الإلكتروني بها، تصل الدفعة معلقة — تفتح الطلب وتشاهد الصورة وتؤكد لتصبح الدفعة مكتملة."
orderManagement.faq.items.q8.answer	"نعم. طبّق ما تريد من فلاتر — التواريخ والفرع وحالة الدفع والقناة — ثم صدّر النتيجة إلى ملف CSV من شريط الأدوات."
orderManagement.cta.description	"ابدأ مجاناً وشاهد طلبات اليوم — من كل القنوات — في قائمة واحدة خلال دقائق. بدون بطاقة ائتمان."
orderManagement.screenshot.caption	"عرض مباشر — الطلبات"
orderManagement.screenshot.companionCaption	"عرض مباشر — الطلبات على الجوال"
customerManagement.hero.subtitle	"ملف العميل يبدأ برقم هاتفه فقط. ومن هناك يسجل كاشفيو كل زيارة وكل طلب وكل عنوان وكل جنيه في رصيده — فعندما يدخل عميلك الدائم، تكون قصته كلها أمامك."
customerManagement.problem.items.noHistory.description	"عميل يسأل عن شيء اشتراه قبل شهرين — اللون والمقاس والسعر. بدون سجل طلبات باسمه، ببساطة لا تملك إجابة."
customerManagement.features.subtitle	"لن تقضي يومك في إدخال بيانات. الملفات تبني نفسها من الطلبات الفعلية — كل ما عليك أن تختار العميل عند الدفع."
customerManagement.features.items.quickProfiles.description	"رقم الهاتف هو الحقل الوحيد المطلوب. الاسم وتاريخ الميلاد والملاحظات اختيارية — أضفها عندما تعرفها. وأنشئ العميل من صفحة العملاء أو من الكاشير أو من لوحة التحكم."
customerManagement.features.items.stats.description	"كل عميل يظهر معه عدد زياراته وإجمالي ما صرفه ورصيده في المتجر وتاريخ آخر زيارة — وتتحدث الأرقام تلقائياً مع كل طلب."
customerManagement.features.items.addresses.description	"احفظ أكثر من عنوان لكل عميل — شقة أو منزل أو مكتب — بالمنطقة والشارع والدور وتعليمات التوصيل. والعنوان الافتراضي يُملأ تلقائياً في طلبات التوصيل."
customerManagement.features.items.notes.description	"سجّل ملاحظات يراها فريقك فقط — تفضيلات، حساسية من مكونات، تعليمات خاصة، أو طريقة التغليف المفضلة. تفاصيل صغيرة تجعل العميل يشعر أنه معروف."
customerManagement.features.items.recordVisit.description	"سجّل مشتريات تمت خارج النظام — مبيعات ما قبل كاشفيو أو مبيعات خارجية — فتعكس أرقام العميل تاريخه الحقيقي مع محلك."
customerManagement.features.items.newOrder.description	"زر «طلب جديد» في صفحة كل عميل يفتح شاشة البيع والعميل مختار مسبقاً — رصيده ظاهر وعنوانه جاهز."
customerManagement.storeCredit.subtitle	"بدلاً من إخراج الكاش من الدرج، قدّم رصيداً يُبقي الفلوس داخل تجارتك — محسوباً للجنيه."
customerManagement.storeCredit.refund.description	"عند عمل استرداد، اختر «رصيد المتجر» كطريقة — يُضاف المبلغ إلى رصيد العميل لحظة معالجة الاسترداد."
customerManagement.storeCredit.automatic.description	"الرصيد تديره الطلبات والاستردادات وحدها — لا يمكن لأحد العبث به يدوياً. ويظهر بالأخضر في قائمة العملاء ليراه الفريق كله بنظرة."
customerManagement.faq.items.q1.answer	"رقم الهاتف فقط. الاسم وتاريخ الميلاد والملاحظات والعنوان كلها اختيارية — أضفها لاحقاً كلما تعرفت على العميل أكثر."
customerManagement.faq.items.q2.answer	"نعم. العميل اختياري في كل عملية بيع. اختره عندما تريد تسجيل الطلب باسمه — للسجل أو رصيد المتجر أو التوصيل."
customerManagement.faq.items.q3.answer	"أنشئ استرداداً واختر «رصيد المتجر» كطريقة الاسترداد. يُضاف المبلغ لرصيده تلقائياً عند معالجة الاسترداد. لا يوجد زر «إضافة رصيد» يدوي — كل رصيد يأتي من استرداد حقيقي مسجل."
customerManagement.faq.items.q5.answer	"نعم — احفظ ما تشاء من عناوين (شقة، منزل، مكتب) وحدد واحداً افتراضياً. في طلبات التوصيل يُملأ الافتراضي تلقائياً، ويمكنك اختيار أي عنوان محفوظ."
customerManagement.cta.description	"أنشئ حسابك المجاني واربط عميلاً ببيعتك القادمة — هذا كل ما يلزم لبناء سجل عملاء حقيقي."
customerManagement.screenshot.caption	"عرض مباشر — العملاء"
salesAnalytics.hero.subtitle	"الإيرادات والأرباح والأكثر مبيعاً وساعات الذروة وأداء الموظفين — ستة تقارير جاهزة مبنية من مبيعاتك الحقيقية. كل رقم يقارن نفسه بالفترة السابقة، وتبويب الرؤى يقول لك بكلام واضح ماذا تفعل."
salesAnalytics.problem.items.gutFeeling.description	"ماذا تعيد طلبه، ومتى تزيد الموظفين، وماذا تنزّل عليه عرضاً — أغلب المحلات تخمّن. والتخمين ينفع حتى يتوقف منافسك عن التخمين."
salesAnalytics.problem.items.hiddenPatterns.description	"أي منتج يحمل المحل فعلاً؟ أي الساعات ميتة؟ ماذا يبيع في نهاية الأسبوع؟ البيانات موجودة في مبيعاتك — لكن ليست بشكل يمكنك قراءته."
salesAnalytics.tabs.subtitle	"التقارير تبني نفسها من مبيعاتك — افتح صفحة التقارير وستجدها جاهزة."
salesAnalytics.tabs.items.overview.description	"الإيرادات والربح الإجمالي والطلبات ومتوسط قيمة الطلب والقطع المباعة والخصومات والضريبة والعملاء الجدد — ولكل رقم نسبة تغيره عن الفترة السابقة."
salesAnalytics.tabs.items.insights.description	"درجات صحة لكل جانب، ومشاكل تحتاج تصرفاً الآن، وفرص، وإنجازات حديثة — وكل رؤية معها إجراء موصى به."
salesAnalytics.features.items.byChannel.description	"المتجر الإلكتروني والبوابة وإنستغرام وواتساب وطلبات الهاتف — اعرف أي القنوات تجلب إيراداً فعلاً قبل أن تصرف جنيهاً آخر على التسويق."
salesAnalytics.features.items.byPayment.description	"كيف يدفع عملاؤك فعلاً — كاش أو إلكتروني أو تحويلات بإيصال أو رصيد متجر — فلا تعود جردة الدرج ولا كشوف التسوية مفاجأة."
salesAnalytics.features.items.storeVisits.description	"الزوار الفريدون والجدد والعائدون لمتجرك الإلكتروني — اعرف هل يكتشف الناس متجرك، ومن يعود منهم."
salesAnalytics.features.items.csvExport.description	"صدّر بيانات مبيعات تبويب النظرة العامة إلى CSV — لمحاسبك أو لجداولك أو لتحليلك الأعمق."
salesAnalytics.insights.subtitle	"تبويب الرؤى يحلل مبيعاتك ومنتجاتك وعملاءك ومرتجعاتك — ثم يكلمك كشريك شاطر، لا كلوحة أرقام."
salesAnalytics.insights.items.health.description	"درجة عامة لصحة تجارتك، ودرجات لكل جانب: الإيرادات والمنتجات والعملاء والربح والفروع والمرتجعات — اعرف بنظرة أين يوجعك."
salesAnalytics.insights.items.attention.description	"مشاكل حرجة تظهر تلقائياً — نسبة خصومات مرتفعة، منتج ينزف هامشه، قفزة في المرتجعات — قبل أن تظهر في حسابك البنكي."
salesAnalytics.insights.items.actions.description	"كل رؤية معها توصيات عملية وأثرها المتوقع وأولويتها — فالخطوة التالية محسومة، لا محل نقاش."
salesAnalytics.howItWorks.step2.description	"افتح التقارير واختر يوماً أو أسبوعاً أو شهراً أو فترة مخصصة. كل رقم يعرض تغيره عن الفترة السابقة — صعوداً أو هبوطاً وبكم."
salesAnalytics.howItWorks.step3.description	"اقرأ تبويب الرؤى كملخص يومي: ما يحتاج انتباهاً، وما تكرر النجاح فيه فتزيد عليه، وما تصلحه — وكلٌّ مع إجراء موصى به."
salesAnalytics.faq.items.q2.answer	"الربح يستخدم سعر التكلفة الذي حددته لكل نسخة منتج: سعر البيع ناقص التكلفة. حدّث أسعار التكلفة — خاصة عندما يغير الموردون أسعارهم — لتظل هوامشك صادقة."
salesAnalytics.faq.items.q3.answer	"نعم، تلقائياً. كل رقم يعرض تغيره عن الفترة السابقة — اختر عرض الشهر وسيقارن كل رقم نفسه بالشهر الذي قبله."
salesAnalytics.faq.items.q6.answer	"يحوّل أرقامك إلى إرشادات بلغة بسيطة: درجات صحة لكل جانب، ومشاكل حرجة، وتحذيرات وفرص، وإنجازات حديثة — وكل واحدة معها إجراء موصى به وأثره المتوقع وأولويته."
salesAnalytics.cta.description	"أنشئ حساباً مجانياً، وسجّل بعض المبيعات، وافتح التقارير — أول أرقامك الحقيقية على بعد دقائق."
salesAnalytics.screenshot.caption	"عرض مباشر — التحليلات"
purchaseOrders.problem.subtitle	"رسالة صوتية للمورد، وسعر متفق عليه بالتليفون، وتسليم يُراجع بالذاكرة — حتى تختلف الكميات ولا يستطيع أحد إثبات شيء."
purchaseOrders.problem.items.uncheckedDeliveries.description	"تصل الكراتين، ويرصّها أحدهم، ويتحول العدد الذي في رأسك إلى العدد الذي في مخزونك. والنواقص تُكتشف بعد أسابيع — بعد فوات وقت المطالبة."
purchaseOrders.features.subtitle	"من «البضاعة قربت تخلص» إلى «وصلت على الرف» — كل خطوة لها سجل وحالة ورقم."
purchaseOrders.features.items.wizard.description	"اختر الفرع والمورد، وأضف المنتجات بالكميات وتكلفة الوحدة المتفق عليها، ثم حدد موعد التسليم المتوقع ورسوم التوصيل والملاحظات. انتهيت — أمر الشراء جاهز كمسودة."
purchaseOrders.features.items.statuses.description	"مسودة، معتمد، مستلم جزئياً، مكتمل، ملغي — كل أمر شراء يخبرك أين وصل بالضبط من نظرة واحدة."
purchaseOrders.features.items.approval.description	"اعتماد أمر الشراء يتطلب كتابة كلمة التأكيد بنفسك — عقبة صغيرة تمنع طلبات مكلفة بالخطأ. والإلغاء يعمل بنفس الطريقة."
purchaseOrders.features.items.receiving.description	"عند وصول التسليمة، سجّل ما وصل فعلاً — صنفاً بصنف. وأمر الشراء يتابع المطلوب والمستلم والمتبقي حتى يكتمل كل شيء."
purchaseOrders.features.items.suppliers.description	"اسم كل مورد وهاتفه وبريده وعنوانه في مكان واحد — وتختاره بضغطة عند إنشاء أمر الشراء."
purchaseOrders.features.items.history.description	"افتح أي مورد لترى كل أوامر الشراء معه — الكميات والتكاليف والحالات. وتفاوض على السعر القادم وأنت تعرف آخر خمسة أسعار."
purchaseOrders.features.items.filters.description	"اعثر على أي أمر شراء برقمه أو الفرع أو المورد أو الحالة أو الفترة — بلا تنقيب في ملفات ورقية أو محادثات."
purchaseOrders.howItWorks.step2.description	"راجع المسودة واعتمدها بكتابة كلمة التأكيد. الآن الطلب رسمي — في انتظار التسليم، يراه فريقك، ولا يمكن أن يضيع."
purchaseOrders.howItWorks.step3.description	"عند وصول الكراتين، سجّل الكمية المستلمة لكل صنف — كلها أو ما وصل فقط. يرتفع المخزون فوراً، ويُغلق أمر الشراء نفسه عندما يكتمل كل شيء."
purchaseOrders.effects.items.created.effect	"لا شيء يتغير — إنه تسجيل نية، لا مخزوناً"
purchaseOrders.effects.items.cancelled.effect	"لا شيء يتغير — يُلغى الطلب بدون أي حركة مخزون"
purchaseOrders.faq.items.q1.answer	"نعم. سجّل الكمية التي وصلت فعلاً لكل صنف — يتحول أمر الشراء إلى «مستلم جزئياً» ويظل يتابع الكميات المتبقية حتى يصل كل شيء، ثم يكتمل تلقائياً."
purchaseOrders.faq.items.q2.answer	"لا. الإنشاء والاعتماد لا يغيران شيئاً في المخزون — إنهما تسجيل لما طلبته. المخزون يزيد فقط عند الاستلام، وبالكميات التي استلمتها فعلاً."
purchaseOrders.faq.items.q4.answer	"نعم. صفحة المورد تعرض سجل أوامر الشراء معه كاملاً — بنفس إجراءات العرض والاعتماد والإلغاء والاستلام — مع زر لبدء أمر شراء جديد وهو مختار مسبقاً."
purchaseOrders.faq.items.q8.answer	"نعم. صلاحيات أوامر الشراء دقيقة — العرض والإنشاء والتعديل والاعتماد والاستلام والإلغاء صلاحيات منفصلة توزعها على الأدوار."
purchaseOrders.cta.description	"أنشئ حسابك المجاني، وأضف مورديك، وأنشئ أول أمر شراء — انتهى زمن الطلب بالذاكرة."
purchaseOrders.screenshot.caption	"عرض مباشر — أوامر الشراء"
returnsAndRefunds.hero.subtitle	"خطوات واضحة لأقل جزء ممتع في التجارة: مرتجعات صنفاً بصنف مع تسجيل الأسباب، وتحكم فيما يرجع للرف، وخطوة اعتماد، وأربع طرق استرداد — منها رصيد المتجر الذي يُبقي الفلوس داخل تجارتك."
returnsAndRefunds.problem.subtitle	"كل محل تأتيه مرتجعات. الضرر ليس في المرتجع نفسه — بل في السجل الغائب، وعدد المخزون الخاطئ، والكاش الذي خرج من الدرج بلا أثر."
returnsAndRefunds.problem.items.noProcess.description	"بدون خطوات محددة، يقرر من يقف على الكاونتر. موظف يقبل كل شيء، وآخر يرفض كل شيء — والعملاء يتعلمون الجدال."
returnsAndRefunds.returnTypes.items.returnOnly.description	"بضاعة ترجع بلا فلوس تخرج — استبدال، أو حالة ضمان، أو سياسة محل. يُصحَّح المخزون بدون لمس الكاش."
returnsAndRefunds.returnTypes.items.refundOnly.description	"فلوس ترجع بلا بضاعة — تعويض، أو مجاملة لعميل، أو صنف يحتفظ به العميل. يُسجَّل الاسترداد على الطلب."
